t,v,i
1.12756597291157E-07,151.0163,0.04087882
1.12852442778022E-07,151.186,0.03527224
1.12957590266584E-07,151.3719,0.0302615
1.13081118566905E-07,151.5891,0.02733731
1.13201003680626E-07,151.7976,0.0282566
1.13348111820261E-07,152.0488,0.03325931
1.13470521441413E-07,152.2534,0.03863506
1.1359479222986E-07,152.4562,0.04287782
1.13729654884344E-07,152.6721,0.0439035
1.13880901447636E-07,152.9112,0.04056628
1.13987871224263E-07,153.0791,0.03589979
1.14083313579159E-07,153.2284,0.0310536
1.14187769349839E-07,153.3913,0.02673073
1.1431276360404E-07,153.5849,0.02416444
1.14433311587992E-07,153.7692,0.02494675
1.14578051128173E-07,153.9862,0.02916067
1.14699499572268E-07,154.164,0.03371392
1.14823804199495E-07,154.3416,0.0373074
1.14958903659814E-07,154.5306,0.03811236
1.15110658422778E-07,154.7397,0.03513311
1.15216935309758E-07,154.8849,0.03107743
1.15312639046397E-07,155.015,0.02684629
1.15417410412019E-07,155.1566,0.0230792
1.15542364685076E-07,155.3241,0.02085026
1.1566326290635E-07,155.4838,0.02150597
1.15805565207068E-07,155.6677,0.02503533
1.15925949037661E-07,155.8193,0.02888247
1.16049675074797E-07,155.971,0.03192297
1.16184223924829E-07,156.1321,0.03258171
1.16335179770051E-07,156.3097,0.02999011
1.16442539542362E-07,156.4346,0.02642254
1.16537516909441E-07,156.5443,0.02275659
1.16640824956973E-07,156.6627,0.01948188
1.16765140835267E-07,156.8038,0.01745047
1.1688405295678E-07,156.9363,0.01789176
1.17030423493791E-07,157.0955,0.0209073
1.17151885383135E-07,157.2238,0.02418414
1.1727389918117E-07,157.3488,0.02672886
1.17407294717761E-07,157.4818,0.02727605
1.17555321801346E-07,157.6264,0.02507646
1.17664601775305E-07,157.7316,0.02192397
1.17759090943673E-07,157.8216,0.01873312
1.17859325371632E-07,157.9161,0.01589903
1.17981988117614E-07,158.0303,0.01398738
1.18096107208585E-07,158.1343,0.01419936
1.18261996437713E-07,158.2809,0.01698379
1.18389699736332E-07,158.3899,0.01982345
1.18510067829795E-07,158.4889,0.02183707
1.18641480989151E-07,158.5935,0.02210021
1.18787024005721E-07,158.7064,0.0200625
1.18888026590658E-07,158.7834,0.01747432
1.1898065544729E-07,158.8531,0.0147153
1.19077070801692E-07,158.9246,0.01226984
1.19195877983542E-07,159.0113,0.01047456
1.19302852107951E-07,159.0875,0.01039903
1.19451105839434E-07,159.1896,0.01224317
1.19562388194286E-07,159.2634,0.01437432
1.19671118598774E-07,159.3324,0.01630068
1.19797079818822E-07,159.4093,0.01733189
1.19924429444868E-07,159.4841,0.0165278
1.20104100832442E-07,159.5864,0.01312656
1.20210916887351E-07,159.6457,0.01049105
1.20296153792667E-07,159.692,0.008515648
1.20388374045776E-07,159.7411,0.007087367
1.20490879237468E-07,159.7942,0.006607173
1.20608174317648E-07,159.853,0.00732207
1.20695007633302E-07,159.8947,0.008553945
1.20785030921727E-07,159.9361,0.01014003
1.20890179930412E-07,159.9821,0.01173158
1.21002525356824E-07,160.0289,0.0125521
1.21127041858781E-07,160.0781,0.01198893
1.21284321351078E-07,160.1376,0.009583347
1.21374123609057E-07,160.1703,0.007638443
1.21448126191392E-07,160.1965,0.005943742
1.21524972911758E-07,160.2231,0.004451462
1.21606312277899E-07,160.2504,0.003383641
1.21693417981368E-07,160.2785,0.002950174
1.21784888145456E-07,160.3069,0.003247912
1.21861058943023E-07,160.3292,0.004014212
1.21940193097521E-07,160.3511,0.005138436
1.22030526689815E-07,160.3745,0.006469027
1.2212555872311E-07,160.3973,0.007550589
1.2222825846813E-07,160.42,0.007991679
1.22342146372943E-07,160.4431,0.00736418
1.22496865612042E-07,160.4719,0.005180086
1.22577671254059E-07,160.486,0.003627988
1.22635724989706E-07,160.4955,0.002424632
1.22688733055078E-07,160.5038,0.001409217
1.22742778291714E-07,160.512,0.0005330644
1.22797140597769E-07,160.5199,-0.0001337737
1.22852433391042E-07,160.5274,-0.0005503673
1.2291127965372E-07,160.5349,-0.0006746636
1.22985516191376E-07,160.5436,-0.000439214
1.23044581681071E-07,160.5499,0.00001386639
1.23096535209146E-07,160.5548,0.0005855007
